序号,代码,名称,市场代码简称,最新价(元),涨跌幅(%),涨跌额(元),最高价(元),最低价(元),换手率(%),量比,成交量(股),成交额(元),市盈率(动)(倍),市净率(倍),总市值(元),流通市值(元)
1,300364,中文在线,SZ,24.83,20.01,4.140,24.83,21.20,13.21,1.86,8724.40万,20.54亿,-98.68,71.6534,180.89亿,163.98亿
2,300418,昆仑万维,SZ,43.20,20.00,7.200,43.20,36.78,12.57,2.56,1.48亿,60.66亿,-15.65,4.3322,555.14亿,507.74亿
3,301396,宏景科技,SZ,156.16,20.00,26.030,156.16,144.75,4.75,0.47,671.47万,10.32亿,277.31,27.7956,335.63亿,220.98亿
4,300058,蓝色光标,SZ,14.35,19.98,2.390,14.35,11.88,18.17,2.58,6.32亿,85.53亿,102.14,6.4976,515.20亿,499.08亿
5,300017,网宿科技,SZ,14.03,17.50,2.090,14.32,12.77,11.88,2.23,2.81亿,38.08亿,72.50,3.4570,350.14亿,332.02亿
6,688322,奥比中光-W,SH,93.86,17.35,13.880,95.98,86.63,7.42,2.45,2376.24万,22.08亿,312.52,9.7149,387.49亿,300.60亿
7,688258,卓易信息,SH,101.52,16.44,14.330,104.63,91.00,6.57,2.77,796.02万,7.99亿,51.70,13.0030,122.98亿,122.98亿
8,300757,罗博特科,SZ,415.56,16.07,57.530,429.64,400.28,7.21,1.71,1171.81万,49.01亿,-448.58,42.8452,696.51亿,675.56亿
9,301165,锐捷网络,SZ,118.00,15.69,16.000,120.99,107.00,2.74,0.87,3051.41万,34.95亿,267.26,27.8682,1314.09亿,1314.09亿
10,688777,中控技术,SH,93.12,15.25,12.320,96.96,84.08,4.34,2.26,3416.04万,30.98亿,246.63,7.5063,736.76亿,733.04亿
11,300857,协创数据,SZ,215.85,15.13,28.360,221.79,209.00,6.67,1.38,3245.78万,70.14亿,35.19,20.6345,1056.29亿,1050.89亿
12,688629,华丰科技,SH,137.90,14.84,17.820,142.18,129.00,5.10,1.29,2349.02万,32.01亿,153.58,22.2971,645.72亿,635.71亿
13,300454,深信服,SZ,119.71,14.77,15.410,125.16,102.80,14.81,2.86,4265.92万,50.37亿,-200.23,4.7738,516.62亿,344.77亿
14,688507,索辰科技,SH,147.68,14.48,18.680,154.80,137.91,21.61,1.82,1063.94万,15.74亿,-96.93,4.7789,131.60亿,72.71亿
15,300624,万兴科技,SZ,53.51,14.34,6.710,56.16,47.64,17.79,4.11,3046.81万,16.21亿,-53.90,10.5935,103.45亿,91.63亿
16,300663,科蓝软件,SZ,10.62,13.95,1.300,11.18,8.97,26.75,1.48,1.23亿,12.46亿,-44.92,15.8518,50.81亿,48.89亿
17,688381,帝奥微,SH,27.54,13.94,3.370,28.66,26.00,5.93,1.44,1467.84万,4.08亿,-69.12,2.7394,68.16亿,68.16亿
18,688521,芯原股份,SH,193.00,13.39,22.790,202.00,187.79,4.91,1.44,2582.89万,50.33亿,-74.45,32.2535,1015.02亿,1015.02亿
19,688702,盛科通信-U,SH,342.29,12.60,38.300,360.75,328.99,5.70,0.96,1156.09万,40.24亿,-2060.21,62.8803,1403.39亿,694.82亿
20,300718,长盛轴承,SZ,64.38,12.26,7.030,65.03,60.00,10.16,3.04,1997.27万,12.53亿,78.78,11.1456,192.35亿,126.61亿
